ID	CO_4	CO_6	CO_5	CO27	CO29	CO26	CO25	CO28	CO30	CO31	CO36	CO32	CO33	CO34	CO_35	CO21	CO23	CO20	CO19	CO22	CO24	CO37	CO39	CO38	CO40	CO42	CO41	CO3	CO1	CO2	CO8	CO9	CO7	CO12	CO15	CO13	CO11	CO44	CO10	CO43	CO16	CO18	CO17	CA25	CA30	CA28	CA27	CA29	CA26	CA35	CA31	CA32	CA34	CA33	CA36	CA19	CA20	CA21	CA23	CA24	CA22	CA38	CA37	CA39	CA42	CA41	CA40	CA3	CA2	CA1	CA8	CA9	CA7	CA12	CA13	CA15	CA43	CA11	CA10	CA44	CA16	CA18	CA17	CA_4	CA_5	CA_6
P08519	17.9702	29.5472	22.486	18.9288	22.1782	26.8623	19.9428	24.3639	25.7421	27.6224	26.8942	19.6856	25.927	23.21	25.8103	19.1567	20.602	28.835	22.8273	21.484	21.8123	19.826	25.2712	26.2654	20.9172	19.9481	22.4258	27.2695	21.9634	21.0768	25.3908	20.145	28.0432	20.7984	22.3915	19.3087	19.8782	28.0424	19.8384	19.6132	29.9507	24.219	24.1851	21.424	25.15	19.439	20.0004	23.9922	26.6643	28.6144	23.9404	22.6533	23.1617	20.5101	24.3134	25.5889	20.3165	29.5112	25.3087	22.8491	23.6973	19.7584	19.4613	27.7505	20.2445	23.2517	19.6306	25.1705	25.5843	21.2094	28.2605	20.1683	20.5652	21.416	25.5252	22.9697	28.9775	20.4434	24.2612	18.9164	29.0672	24.2543	24.7594	27.3187	28.5217	26.2807
P08571	25.9868	25.5917	25.9585	25.754	25.8031	25.7651	25.5228	25.7125	25.8334	26.347	26.4985	26.6235	26.5595	26.7588	26.3919	26.0566	25.9938	26.0116	26.333	26.1495	25.9482	25.7665	26.0039	25.6551	25.5259	24.4818	25.4181	26.2406	26.5146	26.0866	25.7162	25.8782	26.1603	26.7603	26.1724	26.2602	27.0442	26.5712	26.6017	26.3614	26.1169	25.8416	25.6782	25.9129	26.0544	25.909	25.7457	26.2828	25.6287	26.1002	25.9545	24.8272	26.3644	26.2866	26.6134	25.8053	26.0138	25.9026	25.7987	26.2116	25.9343	24.9125	25.8056	25.7404	24.9706	25.524	25.3852	26.2087	25.8428	25.6264	26.3416	26.5111	25.5676	26.619	26.2215	26.5429	26.8661	26.9422	26.2883	26.7504	26.314	25.6652	25.5265	25.9201	25.8008	25.8254
P08603	32.8438	32.7266	32.9367	32.9069	32.8561	32.9331	33.0414	33.0164	32.9401	33.4231	32.8725	33.2674	32.9569	32.9415	32.9684	32.952	33.2573	33.155	33.0968	32.9439	33.0455	32.5406	33.1266	32.5137	32.4028	32.1464	32.5337	32.9254	33.0615	33.0717	32.9508	32.8786	33.0154	32.3047	32.5346	32.1943	32.3703	32.3977	32.4445	32.5431	33.3409	33.0083	32.9865	32.9342	33.309	32.8136	32.7119	32.8615	32.8889	32.8455	33.2182	32.8882	32.9104	32.9449	33.0758	33.1723	33.2913	32.9868	33.1382	33.1409	32.921	32.4517	32.9438	32.9701	32.935	32.7401	32.7372	33.1465	32.7343	33.0591	32.8994	32.9405	33.0898	32.3183	32.2414	32.1708	32.6898	32.4433	32.7764	32.4359	32.4904	33.0407	32.9284	32.9323	32.8538	32.8558
P08637	25.7306	25.4612	26.1228	25.6483	25.2519	25.8629	25.1343	25.5854	25.7279	25.1646	25.3433	24.8979	25.2599	25.9527	24.8883	24.5445	23.4249	25.3443	24.9172	25.5719	24.5478	24.8601	25.2846	24.7853	26.105	25.9512	25.7913	25.1069	26.329	25.624	25.1268	25.9357	24.7426	26.0634	23.4108	22.7753	25.6365	24.0766	25.6135	25.4174	25.36	25.28	24.7936	25.7252	25.8091	24.7451	25.9009	25.3789	25.845	25.4582	25.6611	25.1166	24.5901	25.1352	25.641	25.1913	25.1387	25.1512	25.4853	24.5196	25.0968	25.0743	25.0875	25.3784	26.5273	22.6528	25.0662	25.1017	24.4292	25.5864	25.943	26.137	24.7011	25.6676	23.3691	24.2863	23.1737	23.8853	24.9881	25.7664	25.7791	24.7055	25.145	25.6252	24.7987	25.659
P08697;P08697-2	29.7101	29.5261	29.4747	29.6962	30.1228	30.023	29.4729	29.8265	29.8122	30.3841	29.9261	29.9324	30.367	30.1026	29.8919	29.4568	29.8693	29.8375	30.0419	29.7406	29.8686	29.403	29.344	29.3463	29.201	29.3769	29.5499	29.5757	29.5023	29.9013	29.9099	29.6884	29.9859	30.3679	29.8857	29.9132	30.1263	30.1097	29.9864	29.9941	30.2851	29.8953	30.1784	29.8819	29.6584	29.7579	29.6748	30.0389	29.8553	29.8884	29.9299	29.7218	30.0885	29.9296	29.9975	29.7737	29.9078	29.6023	29.779	29.7625	29.5774	29.5058	29.6114	29.4745	29.6804	29.8562	29.5774	29.597	30.1547	29.6673	29.741	29.6411	29.9769	30.1839	30.1136	30.1257	29.4975	30.0984	30.5096	29.9607	29.9749	29.8504	29.9102	30.1262	29.5919	29.7381
P08709-2;P08709	23.5098	23.3067	23.6055	23.2816	23.6344	23.9138	23.5391	23.2546	23.5481	24.236	24.3402	24.3268	24.5286	24.9841	24.28	24.0798	24.1276	24.4973	24.2402	23.7934	23.9238	22.1918	23.5503	24.2147	23.3835	22.8934	23.1469	24.2194	24.3226	23.6212	23.1003	22.3467	22.9628	24.219	24.2623	24.6696	24.5179	24.1288	24.3446	24.4914	23.5627	23.0834	23.0508	23.088	22.4331	23.2501	23.4438	23.9332	23.346	24.2191	24.9094	23.5425	25.0923	24.0019	24.3135	23.816	23.8001	23.0153	24.0739	23.3621	23.3999	23.6545	24.0269	23.6574	23.6663	23.3575	22.5374	23.4115	23.4416	23.8447	23.1798	23.5782	23.1903	23.8877	24.2357	24.2996	25.0871	24.3786	24.3605	24.2602	23.3797	22.9551	23.1972	23.7048	23.8797	23.8574
P09172	26.1288	20.5488	25.5989	25.6807	25.43	25.0307	25.2889	25.1406	25.0089	24.3822	24.3921	25.8943	26.4523	24.1436	26.1194	25.5092	25.434	24.8935	24.4209	25.9963	25.6247	24.9965	25.0378	26.0462	23.7669	24.7855	25.1767	25.6275	26.0144	26.0916	25.5969	27.2148	27.0251	25.4436	26.1461	24.642	25.9105	25.5454	26.0917	25.034	25.9002	21.9397	26.1349	25.8779	26.1696	24.6457	21.7887	26.0762	25.3072	23.7353	25.4244	23.9926	24.9966	25.7108	26.1663	25.2689	25.0064	24.7961	25.8487	25.1159	24.3085	25.9257	25.5612	25.0423	22.3391	26.3928	23.9743	25.1823	26.2967	26.1949	25.8304	24.9251	24.9476	26.3498	27.303	24.7346	26.3064	25.3764	24.4904	25.3538	27.0089	24.8358	25.0335	25.2805	24.735	19.2916
P09486	24.6255	25.0743	24.4914	25.324	24.8432	24.4871	25.1432	24.8843	25.0872	25.5763	26.0651	25.6544	26.0315	25.8868	25.8047	25.6156	25.4417	26.2546	25.7055	26.2415	25.4581	24.7774	22.761	24.7456	23.5873	24.8273	24.6147	24.987	24.9779	25.2315	25.0953	25.0644	25.5206	24.9645	24.6909	24.5034	25.03	25.8356	24.2471	25.029	25.0803	24.4983	24.8664	25.029	25.4645	24.925	25.0312	25.3717	25.0129	25.9607	26.1781	26.478	25.8394	25.6986	25.8011	25.743	26.1036	26.2715	25.713	25.9303	25.9724	24.7261	24.7978	24.4207	24.7954	25.3905	24.8851	25.4674	24.1751	25.4474	25.0512	25.2828	25.4101	25.2254	24.9278	24.6541	24.9859	24.9221	24.0578	24.9479	24.7002	24.9185	24.8991	24.7613	24.6039	24.3744
P09871	29.7913	29.5485	29.7486	29.6277	30.0578	29.7927	29.7596	29.8483	29.6059	29.9076	30.0942	30.1698	30.0785	30.0957	30.0228	29.6653	30.0896	29.5954	30.0453	29.6081	29.6542	29.5555	29.6205	29.8434	29.9922	30.1962	29.664	29.828	29.7004	29.6643	29.8294	29.8509	29.7581	29.9842	29.5829	29.7257	29.9418	29.619	30.0871	29.9063	29.9212	29.5826	30.0104	29.8602	30.2048	29.9517	29.4144	29.8723	29.6391	30.1051	30.0633	29.9939	29.8642	30.0369	30.0653	30.0036	30.1543	29.694	29.7345	30.0366	29.6798	29.3248	29.8377	29.7167	30.0253	29.7562	29.7041	29.7089	29.5287	29.7001	29.8171	29.8524	29.7992	30.0798	29.9704	29.8638	29.6287	30.0673	30.0784	29.6434	29.7174	29.7015	29.367	29.9989	29.9638	29.8415
P0C0L4;P0C0L4-2	26.8173	26.0629	26.2764	25.7997	26.3585	25.8892	27.1651	26.0269	26.6921	27.1189	26.5575	28.2218	27.3314	27.0414	27.6383	26.6175	27.2099	26.8884	24.8898	26.9504	26.6641	26.8577	27.2584	26.5027	26.8182	27.0249	26.6274	21.4183	19.2288	26.0407	27.0848	28.0106	28.0505	27.3222	28.0966	28.0427	28.3016	25.3588	28.6647	26.8888	26.9278	27.3879	27.8103	25.6476	26.8484	25.8354	26.5863	26.8478	26.5394	27.4016	26.5311	27.7645	25.8349	27.175	27.4566	26.5159	26.7007	27.2814	26.7186	26.9654	27.222	26.7114	26.2603	26.2398	26.2303	26.6708	25.7752	26.2954	26.1818	25.5173	27.9424	27.946	27.7917	28.1609	28.1043	28.309	28.2116	28.2802	27.8436	28.0658	28.1398	27.5353	26.8289	26.2755	26.9133	26.8646
